id,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
84,Red,7,2r9CbjYgFhtAmcFv1cSquB,I Almost Do,spotify:track:2r9CbjYgFhtAmcFv1cSquB,0.0167,0.511,0.559,0.0,0.113,-6.587,0.0264,145.88,0.248,71
85,Red,8,5YqltLsjdqFtvqE7Nrysvs,We Are Never Ever Getting Back Together,spotify:track:5YqltLsjdqFtvqE7Nrysvs,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,0.716,81
86,Red,9,7eQj6r5PIdYKEIZjucBMcq,Stay Stay Stay,spotify:track:7eQj6r5PIdYKEIZjucBMcq,0.0848,0.693,0.681,0.0,0.0768,-7.039,0.025,100.02,0.663,71
87,Red,10,0y6kdSRCVQhSsHSpWvTUm7,The Last Time (feat. Gary Lightbody of Snow Patrol),spotify:track:0y6kdSRCVQhSsHSpWvTUm7,0.0399,0.502,0.534,0.0,0.0977,-5.954,0.0278,94.05,0.155,74
88,Red,11,7J4b3LVCIGO4CMBDFLPoP6,Holy Ground,spotify:track:7J4b3LVCIGO4CMBDFLPoP6,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,0.511,71
89,Red,12,73qMN9bXy7MSPwwGfH3wQr,Sad Beautiful Tragic,spotify:track:73qMN9bXy7MSPwwGfH3wQr,0.622,0.601,0.406,9.19e-05,0.133,-11.827,0.0275,130.059,0.232,72
90,Red,13,4e5ayHsOLJNLTGfjau2mEw,The Lucky One,spotify:track:4e5ayHsOLJNLTGfjau2mEw,0.066,0.686,0.571,0.0,0.0608,-7.138,0.05,117.889,0.538,70
91,Red,14,7qEUFOVcxRI19tbT68JcYK,Everything Has Changed (feat. Ed Sheeran),spotify:track:7qEUFOVcxRI19tbT68JcYK,0.271,0.498,0.61,0.0,0.223,-5.098,0.0363,79.918,0.474,76
92,Red,15,7A2cNLRT0YJc1yjxHlKihs,Starlight,spotify:track:7A2cNLRT0YJc1yjxHlKihs,0.00324,0.628,0.685,0.0,0.18,-5.864,0.0358,126.014,0.605,70
93,Red,16,05GsNucq8Bngd9fnd4fRa0,Begin Again,spotify:track:05GsNucq8Bngd9fnd4fRa0,0.075,0.519,0.527,0.0,0.132,-7.673,0.0274,78.915,0.267,73
94,Red,17,0NRHj8hDwwmSPaA41o379r,The Moment I Knew,spotify:track:0NRHj8hDwwmSPaA41o379r,0.0494,0.636,0.402,0.0,0.107,-7.855,0.031,125.952,0.208,70
95,Red,18,4pNApnaUWAL2J4KO2eqokq,Come Back...Be Here,spotify:track:4pNApnaUWAL2J4KO2eqokq,0.0158,0.46,0.632,0.0,0.0822,-6.031,0.0302,79.846,0.399,73
96,Red,19,0DMVrlMUn01M0IcpDbwgu7,Girl At Home,spotify:track:0DMVrlMUn01M0IcpDbwgu7,0.00955,0.691,0.736,1.88e-05,0.101,-6.974,0.0326,125.089,0.612,68
97,Red,20,5jAIouBES8LWMiriuNq170,State Of Grace (Acoustic Version),spotify:track:5jAIouBES8LWMiriuNq170,0.663,0.445,0.131,1.57e-06,0.108,-13.778,0.0564,208.918,0.101,67
98,Red,21,7nWui6jiMM2m9qFmET1Mtj,Ronan,spotify:track:7nWui6jiMM2m9qFmET1Mtj,0.661,0.623,0.279,0.0,0.193,-10.802,0.031,116.04,0.38,65
99,Red,22,4OmFmE0fzcMG6g0Y8p4eSD,Better Man (From The Vault),spotify:track:4OmFmE0fzcMG6g0Y8p4eSD,0.214,0.473,0.579,0.0,0.0877,-5.824,0.0384,73.942,0.255,73
100,Red,23,01K4zKU104LyJ8gMb7227B,Nothing New (feat. Phoebe Bridgers) (From The Vault),spotify:track:01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,101.96,0.446,77
101,Red,24,0v4z1tuZvn6LGknom9Qx7d,Babe (From The Vault),spotify:track:0v4z1tuZvn6LGknom9Qx7d,0.0538,0.584,0.743,2.83e-06,0.121,-7.075,0.0931,167.844,0.746,74
102,Red,25,3z6XUommYDWPHeFhmhhT6j,Message In A Bottle (From The Vault),spotify:track:3z6XUommYDWPHeFhmhhT6j,0.00188,0.622,0.791,3.72e-06,0.083,-6.106,0.0535,115.915,0.494,74
103,Red,26,4CkgMiMqZ5JzW9iYXSTMTL,I Bet You Think About Me (feat. Chris Stapleton) (From The Vault),spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,0.167,0.391,0.715,0.0,0.183,-4.516,0.0495,149.654,0.473,77
104,Red,27,3oGVx9RBmiYGv5ZCecWLkx,Forever Winter (From The Vault),spotify:track:3oGVx9RBmiYGv5ZCecWLkx,0.256,0.611,0.552,0.0,0.134,-5.828,0.031,116.012,0.41,70
105,Red,28,4IQkfUsrwXol38VV3U7t7T,Run (feat. Ed Sheeran) (From The Vault),spotify:track:4IQkfUsrwXol38VV3U7t7T,0.817,0.61,0.488,0.0,0.312,-6.918,0.0293,125.039,0.443,72
106,Red,29,6pYNq0ZwpPVazKzsqpf0G8,The Very First Night (From The Vault),spotify:track:6pYNq0ZwpPVazKzsqpf0G8,0.00115,0.678,0.733,0.0,0.104,-5.025,0.0281,121.009,0.581,76
107,Red,30,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (From The Vault),spotify:track:5enxwA8aAbwZbf5qCHORXi,0.274,0.631,0.518,0.0,0.088,-8.771,0.0303,93.023,0.205,87
108,Fearless,1,77sMIMlNaSURUAXq5coCxE,Fearless,spotify:track:77sMIMlNaSURUAXq5coCxE,0.0122,0.569,0.741,0.0,0.333,-4.963,0.0282,100.118,0.43,85
109,Fearless,2,2nqio0SfWg6gh2eCtfuMa5,Fifteen,spotify:track:2nqio0SfWg6gh2eCtfuMa5,0.116,0.559,0.646,0.0,0.32,-4.61,0.0272,95.466,0.289,73
110,Fearless,3,6YvqWjhGD8mB5QXcbcUKtx,Love Story,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,0.13,0.627,0.792,3.97e-06,0.0845,-4.311,0.031,119.054,0.415,82
111,Fearless,4,550erGcdD9n6PnwxrvYqZT,Hey Stephen,spotify:track:550erGcdD9n6PnwxrvYqZT,0.106,0.788,0.571,0.0,0.0934,-6.135,0.0296,115.99,0.797,71
112,Fearless,5,5YL553x8sHderRBDlm3NM3,White Horse,spotify:track:5YL553x8sHderRBDlm3NM3,0.369,0.423,0.517,0.0,0.177,-7.377,0.0486,185.262,0.366,72
113,Fearless,6,1qrpoAMXodY6895hGKoUpA,You Belong With Me,spotify:track:1qrpoAMXodY6895hGKoUpA,0.0623,0.632,0.773,0.0,0.0885,-4.856,0.0346,130.033,0.474,86
114,Fearless,7,7HC7R2D8WjXVcUHJyEGjRs,Breathe (feat. Colbie Caillat),spotify:track:7HC7R2D8WjXVcUHJyEGjRs,0.156,0.506,0.626,0.0,0.228,-6.066,0.0287,148.035,0.321,69
115,Fearless,8,0k0vFacOHNuArLWMiH60p7,Tell Me Why,spotify:track:0k0vFacOHNuArLWMiH60p7,0.0222,0.578,0.909,0.0,0.333,-3.669,0.0628,100.023,0.541,68
116,Fearless,9,6iiAfo4wTA2CVC3Uwx9uh8,You're Not Sorry,spotify:track:6iiAfo4wTA2CVC3Uwx9uh8,0.0538,0.506,0.444,0.0,0.123,-4.99,0.0285,133.873,0.241,70
117,Fearless,10,22bPsP2jCgbLUvh82U0Z3M,The Way I Loved You,spotify:track:22bPsP2jCgbLUvh82U0Z3M,0.0033,0.402,0.732,0.0,0.108,-4.665,0.0484,161.032,0.472,83
118,Fearless,11,1msEuwSBneBKpVCZQcFTsU,Forever & Always,spotify:track:1msEuwSBneBKpVCZQcFTsU,0.0231,0.598,0.821,0.0,0.143,-4.433,0.0447,128.03,0.673,74
119,Fearless,12,6ON9UuIq49xXY9GPmHIYRp,The Best Day,spotify:track:6ON9UuIq49xXY9GPmHIYRp,0.488,0.642,0.576,0.0,0.159,-8.524,0.0282,125.0,0.469,67
120,Fearless,13,3ExweHKZF9B752DPQByRVT,Change,spotify:track:3ExweHKZF9B752DPQByRVT,0.000191,0.499,0.815,0.0,0.181,-4.063,0.0341,95.999,0.344,66
121,Fearless,14,2m3ObD945KvpE5y9A1eUWm,Jump Then Fall,spotify:track:2m3ObD945KvpE5y9A1eUWm,0.0474,0.572,0.69,0.0,0.0897,-6.201,0.0358,160.111,0.624,68
122,Fearless,15,0tQ9vBYpldCuikPsbgOVKA,Untouchable,spotify:track:0tQ9vBYpldCuikPsbgOVKA,0.0181,0.393,0.531,0.0,0.169,-6.112,0.0329,200.391,0.224,68
123,Fearless,16,01QdEx6kFr78ZejhQtWR5m,Forever & Always (Piano Version),spotify:track:01QdEx6kFr78ZejhQtWR5m,0.819,0.546,0.273,0.0,0.137,-9.208,0.0308,118.753,0.271,67
124,Fearless,17,1n2wszmJyVkw6FHqyLnQsY,Come In With The Rain,spotify:track:1n2wszmJyVkw6FHqyLnQsY,0.0406,0.476,0.564,0.0,0.102,-5.677,0.0269,143.929,0.167,65
125,Fearless,18,51A8eKvvZz9uydvIZ7xRSV,Superstar,spotify:track:51A8eKvvZz9uydvIZ7xRSV,0.157,0.454,0.555,0.0,0.343,-6.69,0.0283,171.862,0.171,64
126,Fearless,19,1cSFlSBdpT4F5vb1frQ231,The Other Side Of The Door,spotify:track:1cSFlSBdpT4F5vb1frQ231,0.0279,0.432,0.873,0.0,0.167,-4.367,0.0577,163.936,0.629,70
127,Fearless,20,2JoJrsEV15OzbijS47lids,Today Was A Fairytale,spotify:track:2JoJrsEV15OzbijS47lids,0.0135,0.482,0.779,0.0,0.296,-5.025,0.0409,158.162,0.328,67
